F_REF,,P_REF,F_SDR,P_SDR,,
22008998,22.008998,-49.6917662,22.01347401,496.0197809,20,25
31842556,31.842556,-51.0230478,31.84898945,870.7711084,30,35
41596924,41.596924,-51.8296814,41.61128766,463.8011553,40,45
52148807,52.148807,-52.5973578,52.15456972,754.621506,50,55
63284458,63.284458,-53.9028768,63.29579255,427.1089562,60,65
69598725,69.598725,-54.2112836,69.60467777,572.0299967,65,70
71293500,71.2935,-54.689975,71.30087708,514.8154377,70,75
81557906,81.557906,-56.128354,81.56349307,203.842953,80,85
87816304,87.816304,-56.6983214,87.8235668,317.6315203,85,90
91830257,91.830257,-57.4725974,91.83831194,273.5080972,90,95
108393600,108.3936,-44.900208,108.3976103,4934.068871,105,110
118232900,118.2329,-45.966454,118.2331257,3796.495868,115,120
126104400,126.1044,-45.305447,126.1161815,4972.587868,125,130
132008000,132.008,-45.980457,132.0101691,3552.861473,130,135
147751000,147.751,-46.997559,147.7640778,3240.73871,145,150
155622500,155.6225,-47.403351,155.6349307,2634.753815,155,160
165461800,165.4618,-47.118484,165.4704462,3251.484919,165,170
177269100,177.2691,-47.213028,177.2706241,2701.507533,175,180
187108400,187.1084,-47.517704,187.1183424,3095.669024,185,190
194979900,194.9799,-47.597397,194.9891954,2741.98034,190,195
,0,-47.203682,202.8600483,2882.808888,200,205
212690800,212.6908,-48.331055,212.6955638,2154.237931,210,215
222530100,222.5301,-48.041798,222.5432821,2656.403545,220,225
,0,-47.0942,236.3203254,2508.532353,235,240
240241000,240.241,-48.103012,240.2618533,2052.581766,240,245
254016100,254.0161,-47.799053,254.0266937,2542.430491,250,255
,0,-47.097507,269.7683996,2947.145744,265,270
277630500,277.6305,-49.088188,277.6392526,1878.130111,275,280
283534100,283.5341,-47.727451,283.545443,2543.269961,280,285
,0,-47.799919,297.3224863,2292.343272,295,300
307148600,307.1486,-47.716824,307.1580018,2379.085619,305,310
,0,-47.90424,316.9935172,2016.122498,315,320
328795200,328.7952,-47.719238,328.8058981,2432.019883,325,330
,0,-47.304901,332.747426,2458.148968,330,335
,0,-49.110527,342.5829414,1649.724622,340,345
356345400,356.3454,-48.193127,356.3599848,1965.660471,355,360
368152600,368.1526,-48.989075,368.1723656,1614.680126,365,370
,0,-48.002556,370.1370281,2012.893021,370,375
,0,-48.406494,389.8202619,1601.922269,385,390
395702800,395.7028,-48.444637,395.7142494,1784.075303,395,400
401606400,401.6064,-48.861652,401.6204398,1509.325345,400,405
,0,-48.874416,413.4328206,1427.890717,410,415
,0,-49.809498,427.209864,1144.088613,425,430
431124500,431.1245,-49.981022,431.139189,1201.392012,430,435
440963900,440.9639,-50.712723,440.9869073,937.8735686,440,445
,0,-51.291931,452.7870853,779.3180918,450,455
468514100,468.5141,-53.524853,468.5287912,474.9181074,465,470
478353400,478.3534,-53.990574,478.3643066,365.4573046,475,480
,0,-53.809361,488.2120249,425.1586348,485,490
492128500,492.1285,-54.812275,492.1413499,309.6222602,490,495